ICR_id,# Designs Passing,#LowScore Designs,Failed Designs,Total Submitted
ICR_1,6,0,14,20
ICR_2,21,7,8,36
ICR_3,14,3,3,20
ICR_4,26,5,1,32
ICR_5,0,7,0,7
ICR_6,5,0,0,5
ICR_7,2,5,0,7
ICR_8,7,12,0,19
ICR_9,11,1,0,12
ICR_10,7,1,0,8
ICR_11,4,0,0,4
ICR_12,0,0,5,5
ICR_13,16,4,0,20
ICR_14,9,0,0,9
ICR_15,6,6,0,12
ICR_16,13,3,0,16
ICR_17,5,4,1,10
ICR_18,15,0,0,15
ICR_19,0,11,0,11
ICR_20,9,0,0,9
ICR_21,8,1,0,9
ICR_22,7,1,0,8
ICR_23,11,1,0,12
ICR_24,6,0,0,6
ICR_25,7,4,0,11
ICR_26,6,0,0,6
ICR_27,0,5,0,5
ICR_28,7,3,0,10
ICR_29,15,1,0,16
ICR_30,6,2,0,8
ICR_31,7,0,0,7
ICR_32,16,3,0,19
ICR_33,9,1,0,10
ICR_34,2,3,0,5
ICR_35,8,2,0,10
ICR_36,11,3,0,14
ICR_37,8,6,0,14
ICR_38,0,7,0,7
ICR_39,6,0,0,6
ICR_40,21,2,0,23
ICR_41,8,3,0,11
ICR_42,6,4,0,10
ICR_43,7,0,0,7
ICR_44,21,1,0,22
ICR_45,1,19,0,20
ICR_46,34,1,0,35
ICR_47,45,6,0,51
ICR_48,17,13,0,30
ICR_49,9,0,0,9
ICR_50,6,0,2,8
ICR_51,7,0,0,7
ICR_52,11,0,0,11
ICR_53,4,0,4,8
ICR_54,11,7,0,18
ICR_55,14,1,0,15
ICR_56,2,10,0,12
ICR_57,7,10,0,17
ICR_58,5,0,1,6
ICR_59,1,3,10,14
ICR_60,0,0,11,11
ICR_61,0,0,6,6
ICR_62,13,4,0,17
ICR_63,6,10,0,16
ICR_64,3,34,0,37
ICR_65,6,2,0,8
ICR_66,17,13,0,30
ICR_67,1,0,8,9
ICR_68,0,0,18,18
ICR_69,2,2,15,19
ICR_70,4,1,1,6
ICR_71,4,0,0,4
ICR_72,0,7,0,7
ICR_73,2,12,10,24
ICR_74,12,0,0,12
ICR_75,6,0,0,6
ICR_76,8,0,0,8
ICR_77,7,2,0,9
ICR_78,8,6,0,14
ICR_79,4,7,0,11
ICR_80,11,1,0,12
ICR_81,13,0,0,13
ICR_82,6,0,0,6
ICR_83,4,12,0,16
ICR_84,8,8,0,16
ICR_85,8,0,0,8
ICR_86,11,2,0,13
ICR_87,0,0,8,8
ICR_88,0,0,6,6
ICR_89,1,4,0,5
ICR_90,0,7,2,9
ICR_91,0,0,17,17
ICR_92,2,9,19,30
ICR_93,5,28,14,47
ICR_94,2,0,13,15
ICR_95,1,0,9,10
ICR_96,11,2,0,13
ICR_97,4,1,0,5
ICR_98,12,2,0,14
ICR_99,15,9,0,24
ICR_100,7,0,0,7
ICR_101,5,0,0,5
ICR_102,28,5,0,33
ICR_103,8,19,0,27
ICR_104,10,0,0,10
ICR_105,0,7,3,10
ICR_106,9,0,0,9
ICR_107,3,11,0,14
ICR_108,2,8,0,10
ICR_109,16,9,0,25
ICR_110,4,5,0,9
ICR_111,4,25,12,41
ICR_112,8,7,0,15
ICR_113,4,3,0,7
ICR_114,6,9,0,15
ICR_115,6,3,0,9
ICR_116,6,0,0,6
ICR_117,8,7,0,15
ICR_118,10,0,0,10
ICR_119,28,23,0,51
ICR_120,11,0,0,11
ICR_121,10,0,0,10
ICR_122,15,3,0,18
ICR_123,10,0,0,10
ICR_124,6,0,0,6
ICR_125,18,5,0,23
ICR_126,17,0,0,17
ICR_127,15,42,22,79
ICR_128,5,0,0,5
ICR_129,5,0,4,9
ICR_130,7,0,0,7
ICR_131,9,0,3,12
ICR_132,2,8,0,10
ICR_133,8,1,0,9
ICR_134,5,10,0,15
ICR_135,0,17,0,17
ICR_136,8,0,0,8
ICR_137,14,7,0,21
ICR_138,8,4,0,12
ICR_139,13,0,0,13
ICR_140,0,14,0,14
ICR_141,6,7,0,13
ICR_142,12,1,0,13
ICR_143,4,2,0,6
ICR_144,11,1,0,12
ICR_145,3,1,0,4
ICR_146,15,8,0,23
ICR_147,7,4,0,11
ICR_148,9,2,0,11
ICR_149,19,3,0,22
ICR_150,4,4,0,8
ICR_151,13,8,0,21
ICR_152,16,11,0,27
ICR_153,9,3,0,12
ICR_154,3,3,0,6
ICR_155,6,0,0,6
ICR_156,5,0,0,5
ICR_157,17,5,0,22
ICR_158,3,11,11,25
ICR_159,10,0,0,10
ICR_160,5,5,0,10
ICR_161,4,3,0,7
ICR_162,4,0,0,4
ICR_163,13,0,0,13
ICR_164,17,0,0,17
ICR_165,47,32,9,88
ICR_166,27,0,6,33
ICR_167,11,0,0,11
ICR_168,6,4,0,10
ICR_169,17,8,0,25
ICR_170,7,0,0,7
ICR_171,21,6,0,27
ICR_172,12,2,0,14
ICR_173,7,5,0,12
ICR_174,8,8,1,17
ICR_175,3,4,0,7
ICR_176,8,4,0,12
ICR_177,11,0,0,11
ICR_178,12,0,0,12
ICR_179,4,2,0,6
ICR_180,13,5,0,18
ICR_181,11,9,0,20
ICR_182,10,0,0,10
ICR_183,8,0,0,8
ICR_184,11,0,0,11
ICR_185,9,3,0,12
ICR_186,15,5,0,20
ICR_187,35,8,0,43
ICR_188,17,1,0,18
ICR_189,6,1,0,7
ICR_190,2,8,0,10
ICR_191,7,0,0,7
ICR_192,8,3,0,11
ICR_193,3,6,0,9
ICR_194,4,0,0,4
ICR_195,6,0,0,6
ICR_196,8,0,1,9
ICR_197,5,0,0,5
ICR_198,14,12,0,26
ICR_199,6,0,0,6
ICR_200,14,0,0,14
ICR_201,23,0,0,23
ICR_202,4,0,0,4
ICR_203,9,1,0,10
ICR_204,5,6,0,11
ICR_205,1,4,0,5
ICR_206,4,4,0,8
ICR_207,5,1,0,6
ICR_208,11,0,0,11
ICR_209,10,7,0,17
ICR_210,41,26,2,69
ICR_211,10,22,0,32
ICR_212,8,9,0,17
ICR_213,3,4,0,7
ICR_214,6,0,0,6
ICR_215,7,0,0,7
ICR_216,3,5,3,11
ICR_217,2,8,8,18
ICR_218,18,13,0,31
ICR_219,4,0,0,4
ICR_220,13,0,0,13
ICR_221,14,0,0,14
ICR_222,8,6,0,14
ICR_223,5,2,0,7
ICR_224,1,15,0,16
ICR_225,0,7,0,7
ICR_226,11,4,0,15
ICR_227,7,0,0,7
ICR_228,3,4,0,7
ICR_229,12,0,0,12
ICR_230,13,2,0,15
ICR_231,23,0,0,23
ICR_232,14,2,3,19
ICR_233,5,0,0,5
ICR_234,5,1,0,6
ICR_235,11,1,0,12
ICR_236,3,25,0,28
ICR_237,0,4,14,18
ICR_238,12,4,0,16
ICR_239,12,0,0,12
ICR_240,8,2,0,10
ICR_241,7,0,0,7
ICR_242,3,3,0,6
ICR_243,7,2,0,9
ICR_244,11,3,0,14
ICR_245,5,0,0,5
ICR_246,12,3,0,15
ICR_247,4,8,0,12
ICR_248,4,0,0,4
ICR_249,7,1,0,8
ICR_250,16,22,0,38
ICR_251,5,5,0,10
ICR_252,7,3,0,10
ICR_253,6,1,0,7
ICR_254,8,0,0,8
ICR_255,3,5,0,8
ICR_256,11,0,0,11
ICR_257,0,0,8,8
ICR_258,5,0,2,7
ICR_259,6,1,1,8
ICR_260,3,3,1,7
ICR_261,7,0,1,8
ICR_262,5,1,9,15
ICR_263,0,0,8,8
ICR_264,3,0,1,4
ICR_265,3,1,6,10
ICR_266,11,1,0,12
ICR_267,6,34,0,40
ICR_268,6,1,0,7
ICR_269,9,9,0,18
ICR_270,12,12,0,24
ICR_271,9,0,0,9
ICR_272,15,6,0,21
ICR_273,16,0,0,16
ICR_274,11,6,0,17
ICR_275,34,16,0,50
ICR_276,31,0,3,34
ICR_277,11,0,0,11
ICR_278,24,2,0,26
ICR_279,4,2,0,6
ICR_280,13,1,10,24
ICR_281,8,0,0,8
ICR_282,18,10,0,28
ICR_283,6,1,0,7
ICR_284,7,1,0,8
ICR_285,8,0,0,8
ICR_286,6,0,0,6
ICR_287,10,0,0,10
ICR_288,4,1,0,5
ICR_289,12,2,0,14
ICR_290,0,15,10,25
ICR_291,6,8,0,14
ICR_292,3,4,9,16
ICR_293,0,0,11,11
ICR_294,0,0,14,14
ICR_295,0,0,12,12
ICR_296,0,0,11,11
ICR_297,10,0,0,10
ICR_298,21,0,0,21
ICR_299,4,9,1,14
ICR_300,10,1,0,11
ICR_301,7,5,0,12
ICR_302,7,0,0,7
ICR_303,18,5,0,23
ICR_304,11,1,0,12
ICR_305,9,1,0,10
ICR_306,22,8,0,30
ICR_307,3,4,0,7
ICR_308,32,30,0,62
ICR_309,3,2,0,5
ICR_310,9,4,0,13
ICR_311,4,1,0,5
ICR_312,5,0,0,5
ICR_313,8,0,0,8
ICR_314,12,0,0,12
ICR_315,2,4,0,6
ICR_316,7,0,0,7
ICR_317,8,3,1,12
ICR_318,4,2,0,6
ICR_319,5,0,0,5
ICR_320,6,0,0,6
ICR_321,5,1,0,6
ICR_322,2,11,0,13
ICR_323,15,0,0,15
ICR_324,8,9,0,17
ICR_325,4,0,0,4
ICR_326,13,4,0,17
ICR_327,46,8,0,54
ICR_328,4,4,0,8
ICR_329,6,1,0,7
ICR_330,6,0,0,6
ICR_331,7,5,0,12
ICR_332,16,10,0,26
ICR_333,6,3,0,9
ICR_334,1,6,0,7
ICR_335,6,2,0,8
ICR_336,4,6,0,10
ICR_337,6,3,0,9
ICR_338,13,3,0,16
ICR_339,10,0,0,10
ICR_340,3,3,0,6
ICR_341,6,0,0,6
ICR_342,6,2,0,8
ICR_343,5,0,0,5
ICR_344,3,2,0,5
ICR_345,9,0,0,9
