,Sample,Chip,Beadchip,Row_Col,Notes,Patient.ID
97,BR-94,1,2.07345E+11,R01_C01,,207344530004_R01C01
98,BR-158,1,2.07345E+11,R03_C01,,207344530004_R03C01
99,BR-312,1,2.07345E+11,R05_C01,,207344530004_R05C01
100,BR-328,1,2.07345E+11,R07_C01,,207344530004_R07C01
101,BR-411,1,2.07345E+11,R09_C01,,207344530004_R09C01
102,BR-591,1,2.07345E+11,R11_C01,,207344530004_R11C01
103,BR-760,1,2.07345E+11,R02_C01,,207344530004_R02C01
104,BR-1381,1,2.07345E+11,R04_C01,,207344530004_R04C01
105,BR-1545,1,2.07345E+11,R06_C01,,207344530004_R06C01
106,BR-1594,1,2.07345E+11,R08_C01,,207344530004_R08C01
107,BR-1600,1,2.07345E+11,R10_C01,,207344530004_R10C01
108,BR-1609,1,2.07345E+11,R12_C01,,207344530004_R12C01
109,BR-1665,1,2.07345E+11,R01_C02,,207344530004_R01C02
110,BR-1678,1,2.07345E+11,R03_C02,,207344530004_R03C02
111,BR-1696,1,2.07345E+11,R05_C02,,207344530004_R05C02
112,BR-1705,1,2.07345E+11,R07_C02,,207344530004_R07C02
122,AD-158,2,2.07448E+11,R03_C01,Rerun from plate 1,207448290007_R03C01
