ID,ICR_chr,ICR_start,ICR_end,ICR_id,CpG_chr,CpG_start,CpG_end,Number_of_somatic_tissue,smatic_tissue_list,Brain_found,Liver_found,Kidney_found,Assay_Design_Id,Top_Sequence,Locus_Name,DesignQC,,,,DesignQC
2,1,605447,605698,ICR_1,1,605458,605459,3,"1,2,3",1,1,1,,,cg00003207,CGdb - Multimapper,,,,CGdb - Multimapper
3,1,605447,605698,ICR_1,1,605461,605462,3,"1,2,3",1,1,1,,,cg00003208,CGdb - Multimapper,,,,CG - Submitted - discrepant Ref Genome
4,1,605447,605698,ICR_1,1,605470,605471,3,"1,2,3",1,1,1,,,cg00004587,CGdb - Multimapper,,,,BSmap - Multimapper
5,1,605447,605698,ICR_1,1,605474,605475,3,"1,2,3",1,1,1,,,cg00004588,CGdb - Multimapper,,,,CGdb - Not found
6,1,605447,605698,ICR_1,1,605486,605487,3,"1,2,3",1,1,1,,,cg00004589,CGdb - Multimapper,,,,
7,1,605447,605698,ICR_1,1,605488,605489,3,"1,2,3",1,1,1,,,cg00004590,CGdb - Multimapper,,,,
8,1,605447,605698,ICR_1,1,605492,605493,3,"1,2,3",1,1,1,,,cg00004591,CGdb - Multimapper,,,,
9,1,605447,605698,ICR_1,1,605494,605495,3,"1,2,3",1,1,1,,,cg00004592,CGdb - Multimapper,,,,
10,1,605447,605698,ICR_1,1,605496,605497,3,"1,2,3",1,1,1,,,cg00004593,CGdb - Multimapper,,,,
11,1,605447,605698,ICR_1,1,605500,605501,3,"1,2,3",1,1,1,,,cg00004594,CGdb - Multimapper,,,,
12,1,605447,605698,ICR_1,1,605505,605506,3,"1,2,3",1,1,1,,,cg00004595,CGdb - Multimapper,,,,
13,1,605447,605698,ICR_1,1,605508,605509,3,"1,2,3",1,1,1,,,cg00004596,CGdb - Multimapper,,,,
14,1,605447,605698,ICR_1,1,605516,605517,3,"1,2,3",1,1,1,,,cg00004597,CGdb - Multimapper,,,,
20,1,605447,605698,ICR_1,1,605697,605698,3,"1,2,3",1,1,1,,,cg00004603,CGdb - Multimapper,,,,
26,1,628959,630792,ICR_2,1,629153,629154,3,"1,2,3",1,1,1,,,cg00004791,CGdb - Multimapper,,,,
38,1,628959,630792,ICR_2,1,629700,629701,3,"1,2,3",1,1,1,,,cg00004802,CGdb - Multimapper,,,,
39,1,628959,630792,ICR_2,1,629709,629710,3,"1,2,3",1,1,1,,,cg00004803,CGdb - Multimapper,,,,
40,1,628959,630792,ICR_2,1,629789,629790,3,"1,2,3",1,1,1,,,cg24159721,CGdb - Multimapper,,,,
41,1,628959,630792,ICR_2,1,629823,629824,3,"1,2,3",1,1,1,,,cg00004804,CGdb - Multimapper,,,,
42,1,628959,630792,ICR_2,1,629833,629834,3,"1,2,3",1,1,1,,,cg00004805,CGdb - Multimapper,,,,
50,1,628959,630792,ICR_2,1,630405,630406,3,"1,2,3",1,1,1,,,cg00004813,CGdb - Multimapper,,,,
51,1,628959,630792,ICR_2,1,630412,630413,3,"1,2,3",1,1,1,,,cg00004814,CGdb - Multimapper,,,,
57,1,632183,632834,ICR_3,1,632189,632190,3,"1,2,3",1,1,1,,,cg00004860,CGdb - Multimapper,,,,
71,1,632183,632834,ICR_3,1,632588,632589,3,"1,2,3",1,1,1,,,cg00004873,CGdb - Multimapper,,,,
72,1,632183,632834,ICR_3,1,632597,632598,3,"1,2,3",1,1,1,,,cg00004874,CGdb - Multimapper,,,,
84,1,633381,634921,ICR_4,1,633949,633950,3,"1,2,3",1,1,1,,,cg00004909,CGdb - Multimapper,,,,
171,1,2661644,2661722,ICR_12,1,2661647,2661648,3,"1,2,3",1,1,1,,,cg00068042,CGdb - Multimapper,,,,
172,1,2661644,2661722,ICR_12,1,2661681,2661682,3,"1,2,3",1,1,1,,,cg00068043,CGdb - Multimapper,,,,
173,1,2661644,2661722,ICR_12,1,2661692,2661693,3,"1,2,3",1,1,1,,,cg00068044,CGdb - Multimapper,,,,
174,1,2661644,2661722,ICR_12,1,2661702,2661703,3,"1,2,3",1,1,1,,,cg00068045,CGdb - Multimapper,,,,
175,1,2661644,2661722,ICR_12,1,2661721,2661722,3,"1,2,3",1,1,1,,,cg00068046,CGdb - Multimapper,,,,
241,1,8117511,8117827,ICR_17,1,8117789,8117790,1,3,0,0,1,,,,CG - Submitted - discrepant Ref Genome,,,,
680,1,75376248,75376584,ICR_50,1,75376265,75376266,1,3,0,0,1,,,,CG - Submitted - discrepant Ref Genome,,,,
682,1,75376248,75376584,ICR_50,1,75376269,75376270,1,3,0,0,1,,,,CG - Submitted - discrepant Ref Genome,,,,
705,1,91387426,91387588,ICR_53,1,91387433,91387434,3,"1,2,3",1,1,1,,,cg01056737,CGdb - Multimapper,,,,
706,1,91387426,91387588,ICR_53,1,91387444,91387445,3,"1,2,3",1,1,1,,,cg01056738,CGdb - Multimapper,,,,
