ID,Genomic Coordinates,Parental Origin of Methylation,Nearest Transcript,Distance to Nearest Transcript
ICR_1^,chr1:605447-605698,,MTND1P23,23364
ICR_2^,chr1:628959-630792,P,MTND1P23|MTND2P28,0
ICR_3^,chr1:632183-632834,P,MTCO1P12|MIR12136|MTCO2P12,0
ICR_4^,chr1:633381-634921,P,MTCO2P12|MTATP8P1|MTATP6P1|MTCO3P12,0
ICR_5*^,chr1:940289-940324,,SAMD11,0
ICR_6*,chr1:1174554-1174597,P,TTLL10,0
ICR_7^,chr1:1232896-1232944,,B3GALT6,0
ICR_8,chr1:1575713-1575919,,SSU72,850
ICR_9^,chr1:1859182-1859730,,GNB1,0
ICR_10^,chr1:2469095-2469433,P,PLCH2,0
ICR_11,chr1:2657156-2657383,,TTC34,0
ICR_12,chr1:2661644-2661722,M,TTC34,0
ICR_13,chr1:4600059-4600405,P**,LINC01646,16353
ICR_14*^,chr1:5949227-5949623,P**,NPHP4,0
ICR_15,chr1:6461637-6461737,M,TNFRSF25,0
ICR_16^,chr1:7199286-7199687,M,CAMTA1,0
ICR_17^,chr1:8117511-8117827,P,RPL7AP18,59024
ICR_18^,chr1:9162042-9162599,,MIR34AHG,0
ICR_19*^,chr1:9234719-9234755,,H6PD,12
ICR_20^,chr1:10682902-10683413,P,CASZ1,0
ICR_21,chr1:10808891-10809149,P,CASZ1,12241
ICR_22^,chr1:16164023-16164515,P,EPHA2,7919
ICR_23^,chr1:17569678-17570146,,ARHGEF10L,0
ICR_24*^,chr1:19643228-19643530,M**,NBL1,0
ICR_25^,chr1:22428873-22429209,M,ZBTB40,0
ICR_26,chr1:24210504-24210603,P,LINC02800,0
ICR_27,chr1:24503163-24503185,M**,RCAN3,0
ICR_28,chr1:26622032-26622250,,RN7SL679P,28486
ICR_29^,chr1:29990938-29991337,,LINC01648,22615
ICR_30,chr1:31586949-31587065,,TINAGL1,0
ICR_31,chr1:31773101-31773224,M**,ADGRB2,8761
ICR_32*^,chr1:32471040-32471395,M,ZBTB8B,0
ICR_33*,chr1:32886988-32887301,,HPCA,0
ICR_34^,chr1:32963351-32963481,,RNF19B,0
ICR_35^,chr1:35699589-35699951,M,C1orf216,13925
ICR_36^,chr1:36572484-36573080,P,FTLP18,57255
ICR_37,chr1:37761780-37761898,M**,EPHA10,0
ICR_38,chr1:37990629-37990727,,SF3A3,607
ICR_39,chr1:38210131-38210429,P,LINC01343,0
ICR_40^,chr1:39559036-39559674,M,PPIEL,0
ICR_41*^,chr1:41423557-41423666,P,FOXO6,39967
ICR_42,chr1:42145815-42145896,,GUCA2B,7514
ICR_43^,chr1:47963613-47963993,P,TRABD2B,0
ICR_44^,chr1:53145868-53146595,P,SLC1A7,3230
ICR_45,chr1:53276947-53277068,,LRP8,0
ICR_46*^,chr1:68046822-68047535,M,DIRAS3,0
ICR_47^#,chr1:68049858-68051097,M,DIRAS3,0
ICR_48*^,chr1:68051239-68051861,M,DIRAS3,0
ICR_49^,chr1:69312582-69312695,,LINC02791,63065
ICR_50,chr1:75376248-75376584,,SLC44A5,0
ICR_51*^,chr1:77687510-77687630,,ZZZ3,4070
ICR_52^,chr1:91171791-91172929,P,HFM1,87837
ICR_53^,chr1:91387426-91387588,,HFM1,0
ICR_54,chr1:112742974-112743310,M**,NUTF2P4,4785
ICR_55^,chr1:116641652-116642769,,IGSF3,0
ICR_56,chr1:125086125-125086242,,PPIAL4F,1.00E+08
ICR_57,chr1:125086657-125086787,,PPIAL4F,1.00E+08
