icr,location,zf1,zf2,zf3,,
ICR_1^,chr1:605447-605698,,,,,
ICR_2^,chr1:628959-630792,,,,,
ICR_3^,chr1:632183-632834,,,,,
ICR_4^,chr1:633381-634921,,,,,
ICR_5*^,chr1:940289-940324,,,,,
ICR_6*,chr1:1174554-1174597,,,,,
ICR_7^,chr1:1232896-1232944,ZFP57,,,,
ICR_8,chr1:1575713-1575919,,,,,
ICR_9^,chr1:1859182-1859730,,,,,
ICR_10^,chr1:2469095-2469433,,,,,
ICR_11,chr1:2657156-2657383,,,,,
ICR_12,chr1:2661644-2661722,,,,,
ICR_13,chr1:4600059-4600405,,,,,
ICR_14*^,chr1:5949227-5949623,,,,,
ICR_15,chr1:6461637-6461737,,,,,
ICR_16^,chr1:7199286-7199687,,,,,
ICR_17^,chr1:8117511-8117827,,,,,
ICR_18^,chr1:9162042-9162599,,,,,
ICR_19*^,chr1:9234719-9234755,,,,,
ICR_20^,chr1:10682902-10683413,,,,,
ICR_21,chr1:10808891-10809149,,,,,
ICR_22^,chr1:16164023-16164515,,,,,
ICR_23^,chr1:17569678-17570146,,,,,
ICR_24*^,chr1:19643228-19643530,,,,,
ICR_25^,chr1:22428873-22429209,,,,,
ICR_26,chr1:24210504-24210603,,,,,
ICR_27,chr1:24503163-24503185,,,,,
ICR_28,chr1:26622032-26622250,,,,,
ICR_29^,chr1:29990938-29991337,,,,,
ICR_30,chr1:31586949-31587065,,,,,
ICR_31,chr1:31773101-31773224,,,,,
ICR_32*^,chr1:32471040-32471395,ZFP57,,,,
ICR_33*,chr1:32886988-32887301,,,,,
ICR_34^,chr1:32963351-32963481,ZFP57,,,,
ICR_35^,chr1:35699589-35699951,,,,,
ICR_36^,chr1:36572484-36573080,,,,,
ICR_37,chr1:37761780-37761898,,,,,
ICR_38,chr1:37990629-37990727,,,,,
ICR_39,chr1:38210131-38210429,,,,,
ICR_40^,chr1:39559036-39559674,,,,,
ICR_41*^,chr1:41423557-41423666,,,,,
ICR_42,chr1:42145815-42145896,,,,,
ICR_43^,chr1:47963613-47963993,,,,,
ICR_44^,chr1:53145868-53146595,,,,,
ICR_45,chr1:53276947-53277068,,,,,
ICR_46*^,chr1:68046822-68047535,,,,,
ICR_47^#,chr1:68049858-68051097,ZFP57,ZFP57,,,
ICR_48*^,chr1:68051239-68051861,ZFP57,ZFP445,,,
ICR_49^,chr1:69312582-69312695,,,,,
ICR_50,chr1:75376248-75376584,,,,,
ICR_51*^,chr1:77687510-77687630,,,,,
ICR_52^,chr1:91171791-91172929,,,,,
ICR_53^,chr1:91387426-91387588,,,,,
ICR_54,chr1:112742974-112743310,ZFP57,,,,
ICR_55^,chr1:116641652-116642769,,,,,
ICR_56,chr1:125086125-125086242,,,,,
ICR_57,chr1:125086657-125086787,,,,,
ICR_58,chr1:125126341-125127474,,,,,
ICR_59,chr1:144547463-144547582,,,,,
ICR_60,chr1:144642001-144642148,,,,,
ICR_61,chr1:144813474-144813505,,,,,
ICR_62,chr1:148011459-148011977,,,,,
ICR_63,chr1:148354878-148355291,,,,,
ICR_64^,chr1:156216551-156216822,,,,,
ICR_65,chr1:156840564-156840978,,,,,
ICR_66,chr1:157278910-157279545,,,,,
ICR_67,chr1:161442725-161442826,,,,,
ICR_68,chr1:161449348-161449576,,,,,
