"","CpG_chr","CpG_start","CpG_stop","ICR_chr","ICR_start","ICR_stop","CpG_Probe","ICR_id"
"1","chr1",629120,629121,"chr1",628958,630792,"cg26679879_TC11","ICR_2"
"2","chr1",629123,629124,"chr1",628958,630792,"cg22519184_BC11","ICR_2"
"3","chr1",630791,630792,"chr1",628958,630792,"cg15174812_TC21","ICR_2"
"4","chr1",4600110,4600111,"chr1",4600058,4600405,"cg16906964_BC21","ICR_13"
"5","chr1",10683158,10683159,"chr1",10682901,10683413,"cg13428086_BC21","ICR_20"
"6","chr1",16164295,16164296,"chr1",16164022,16164515,"cg09414948_TC11","ICR_22"
"7","chr1",16164295,16164296,"chr1",16164022,16164515,"cg09414948_TC12","ICR_22"
"8","chr1",17569794,17569795,"chr1",17569677,17570146,"cg17285883_TC21","ICR_23"
"9","chr1",19643255,19643256,"chr1",19643227,19643530,"cg15317859_TC21","ICR_24"
"10","chr1",19643316,19643317,"chr1",19643227,19643530,"cg09309058_TC21","ICR_24"
"11","chr1",19643436,19643437,"chr1",19643227,19643530,"cg21813747_TC21","ICR_24"
"12","chr1",19643495,19643496,"chr1",19643227,19643530,"cg14699309_TC21","ICR_24"
"13","chr1",19643529,19643530,"chr1",19643227,19643530,"cg22767145_TC21","ICR_24"
"14","chr1",31587049,31587050,"chr1",31586948,31587065,"cg17945560_BC11","ICR_30"
"15","chr1",32471394,32471395,"chr1",32471039,32471395,"cg12419176_BC11","ICR_32"
"16","chr1",32886987,32886988,"chr1",32886987,32887301,"cg26524353_BC11","ICR_33"
"17","chr1",39559298,39559299,"chr1",39559035,39559674,"cg10243676_BC21","ICR_40"
"18","chr1",39559559,39559560,"chr1",39559035,39559674,"cg11704876_TC11","ICR_40"
"19","chr1",41423634,41423635,"chr1",41423556,41423666,"cg11706129_TC11","ICR_41"
"20","chr1",53146349,53146350,"chr1",53145867,53146595,"cg09503816_BC21","ICR_44"
"21","chr1",68046966,68046967,"chr1",68046821,68047535,"cg24871743_BC21","ICR_46"
"22","chr1",68047093,68047094,"chr1",68046821,68047535,"cg22901840_TC21","ICR_46"
"23","chr1",68047123,68047124,"chr1",68046821,68047535,"cg20149168_TC21","ICR_46"
"24","chr1",68047161,68047162,"chr1",68046821,68047535,"cg13697378_BC11","ICR_46"
"25","chr1",68047287,68047288,"chr1",68046821,68047535,"cg09118625_BC21","ICR_46"
"26","chr1",68050188,68050189,"chr1",68049857,68051097,"cg17943391_TC21","ICR_47"
"27","chr1",68050293,68050294,"chr1",68049857,68051097,"cg19114595_TC21","ICR_47"
"28","chr1",68050396,68050397,"chr1",68049857,68051097,"cg12070746_TC21","ICR_47"
"29","chr1",68050409,68050410,"chr1",68049857,68051097,"cg11465163_TC21","ICR_47"
"30","chr1",68050454,68050455,"chr1",68049857,68051097,"cg25755905_TC21","ICR_47"
"31","chr1",68050588,68050589,"chr1",68049857,68051097,"cg22500004_TC21","ICR_47"
"32","chr1",68050690,68050691,"chr1",68049857,68051097,"cg19694923_BC11","ICR_47"
"33","chr1",68050788,68050789,"chr1",68049857,68051097,"cg16682227_BC11","ICR_47"
"34","chr1",68050788,68050789,"chr1",68049857,68051097,"cg16682227_BC12","ICR_47"
"35","chr1",68050943,68050944,"chr1",68049857,68051097,"cg12986021_BC21","ICR_47"
"36","chr1",68050943,68050944,"chr1",68049857,68051097,"cg12986021_BC22","ICR_47"
"37","chr1",68051029,68051030,"chr1",68049857,68051097,"cg13099417_BC21","ICR_47"
"38","chr1",68051493,68051494,"chr1",68051238,68051861,"cg27545611_BC11","ICR_48"
"39","chr1",68051521,68051522,"chr1",68051238,68051861,"cg16148134_BC11","ICR_48"
"40","chr1",68051571,68051572,"chr1",68051238,68051861,"cg13605615_TC21","ICR_48"
"41","chr1",68051589,68051590,"chr1",68051238,68051861,"cg10038185_BC11","ICR_48"
"42","chr1",68051752,68051753,"chr1",68051238,68051861,"cg14230016_TC11","ICR_48"
"43","chr1",68051778,68051779,"chr1",68051238,68051861,"cg14059179_TC11","ICR_48"
"44","chr1",77687617,77687618,"chr1",77687509,77687630,"cg17711265_BC11","ICR_51"
"45","chr1",77687617,77687618,"chr1",77687509,77687630,"cg17711265_BC12","ICR_51"
"46","chr1",91387515,91387516,"chr1",91387425,91387588,"cg22169042_BC21","ICR_53"
"47","chr1",91387531,91387532,"chr1",91387425,91387588,"cg20256120_TC21","ICR_53"
"48","chr1",91387531,91387532,"chr1",91387425,91387588,"cg20256120_TC22","ICR_53"
"49","chr1",116642747,116642748,"chr1",116641651,116642769,"cg21203998_BC21","ICR_55"
"50","chr1",157279159,157279160,"chr1",157278909,157279545,"cg18938392_TC11","ICR_66"
"51","chr1",157279540,157279541,"chr1",157278909,157279545,"cg17019473_BC21","ICR_66"
"52","chr1",168056310,168056311,"chr1",168056306,168056468,"cg25738037_TC11","ICR_73"
"53","chr1",168056313,168056314,"chr1",168056306,168056468,"cg24449463_TC11","ICR_73"
"54","chr1",175505334,175505335,"chr1",175505314,175505505,"cg20164016_BC21","ICR_74"
"55","chr1",175505396,175505397,"chr1",175505314,175505505,"cg24861859_TC21","ICR_74"
"56","chr1",175505396,175505397,"chr1",175505314,175505505,"cg24861859_TC22","ICR_74"
"57","chr1",203861071,203861072,"chr1",203861023,203861206,"cg11405475_BC11","ICR_79"
"58","chr1",204830759,204830760,"chr1",204829544,204831249,"cg14181289_TC21","ICR_80"
"59","chr1",227558409,227558410,"chr1",227558328,227558593,"cg21436055_TC21","ICR_84"
"60","chr1",227558592,227558593,"chr1",227558328,227558593,"cg22344745_TC11","ICR_84"
"61","chr1",228470944,228470945,"chr1",228470748,228471025,"cg11336382_TC21","ICR_86"
"62","chr1",228620966,228620967,"chr1",228620966,228621017,"cg16512390_BC11","ICR_89"
"63","chr1",234231746,234231747,"chr1",234231621,234231851,"cg23445321_TC21","ICR_98"
"64","chr1",234231839,234231840,"chr1",234231621,234231851,"cg24723561_BC21","ICR_98"
"65","chr1",234955860,234955861,"chr1",234955628,234956306,"cg17558788_BC21","ICR_100"
"66","chr1",240493285,240493286,"chr1",240492940,240493380,"cg22879626_BC21","ICR_102"
"67","chr1",240493285,240493286,"chr1",240492940,240493380,"cg22879626_BC22","ICR_102"
"68","chr1",243101539,243101540,"chr1",243101534,243101819,"cg24502334_BC11","ICR_103"
"69","chr1",243101539,243101540,"chr1",243101534,243101819,"cg24502334_BC12","ICR_103"
"70","chr1",243916811,243916812,"chr1",243916706,243916919,"cg18085407_BC21","ICR_104"
"71","chr1",244729681,244729682,"chr1",244729464,244729883,"cg12726120_BC21","ICR_106"
"72","chr1",247518136,247518137,"chr1",247518136,247518222,"cg21399703_TC11","ICR_108"
"73","chr1",247518136,247518137,"chr1",247518136,247518222,"cg21399703_TC12","ICR_108"
"74","chr1",247530968,247530969,"chr1",247530968,247531234,"cg12754571_TC11","ICR_109"
"75","chr1",247530972,247530973,"chr1",247530968,247531234,"cg12758973_BC11","ICR_109"
"76","chr1",248692154,248692155,"chr1",248692087,248692168,"cg21411898_TC11","ICR_110"
"77","chr1",248692154,248692155,"chr1",248692087,248692168,"cg21411898_TC12","ICR_110"
"78","chr2",636605,636606,"chr2",636481,636639,"cg14515364_BC11","ICR_112"
"79","chr2",26728604,26728605,"chr2",26728574,26728788,"cg16842187_TC21","ICR_115"
"80","chr2",26728604,26728605,"chr2",26728574,26728788,"cg16842187_TC22","ICR_115"
"81","chr2",31581481,31581482,"chr2",31581450,31581676,"cg11765362_TC11","ICR_117"
"82","chr2",36240555,36240556,"chr2",36240517,36240688,"cg26336642_BC21","ICR_118"
"83","chr2",36240555,36240556,"chr2",36240517,36240688,"cg26336642_BC22","ICR_118"
"84","chr2",39243886,39243887,"chr2",39243624,39244106,"cg12302982_BC11","ICR_119"
"85","chr2",39244040,39244041,"chr2",39243624,39244106,"cg27343456_BC11","ICR_119"
"86","chr2",42961799,42961800,"chr2",42961750,42962095,"cg21514164_TC11","ICR_120"
"87","chr2",44947692,44947693,"chr2",44947692,44949267,"cg09604283_BC21","ICR_122"
"88","chr2",44948741,44948742,"chr2",44947692,44949267,"cg22385702_TC21","ICR_122"
"89","chr2",44948741,44948742,"chr2",44947692,44949267,"cg22385702_TC22","ICR_122"
"90","chr2",54290171,54290172,"chr2",54289849,54290281,"cg18959907_BC11","ICR_125"
"91","chr2",54290244,54290245,"chr2",54289849,54290281,"cg16408679_TC21","ICR_125"
"92","chr2",91940845,91940846,"chr2",91940730,91945010,"cg10669191_TC21","ICR_131"
"93","chr2",105237068,105237069,"chr2",105236990,105237239,"cg27422857_TC21","ICR_137"
"94","chr2",105237214,105237215,"chr2",105236990,105237239,"cg26874229_BC11","ICR_137"
"95","chr2",119350168,119350169,"chr2",119350053,119351113,"cg23562675_TC21","ICR_142"
"96","chr2",119350329,119350330,"chr2",119350053,119351113,"cg24610061_BC21","ICR_142"
"97","chr2",120526224,120526225,"chr2",120526145,120526533,"cg18881174_TC21","ICR_144"
"98","chr2",120526478,120526479,"chr2",120526145,120526533,"cg19353659_BC21","ICR_144"
"99","chr2",127695685,127695686,"chr2",127695525,127695730,"cg25223285_TC21","ICR_146"
"100","chr2",128493728,128493729,"chr2",128493616,128493806,"cg27424326_BC21","ICR_147"
"101","chr2",128901845,128901846,"chr2",128901752,128902169,"cg12948059_TC21","ICR_149"
"102","chr2",128902107,128902108,"chr2",128901752,128902169,"cg18478731_BC21","ICR_149"
"103","chr2",130037179,130037180,"chr2",130036982,130037204,"cg25239986_TC11","ICR_151"
"104","chr2",130038008,130038009,"chr2",130037807,130038132,"cg18480627_BC11","ICR_152"
"105","chr2",131724039,131724040,"chr2",131724039,131724118,"cg17854650_BC11","ICR_154"
"106","chr2",162243265,162243266,"chr2",162243084,162244421,"cg26070301_BC21","ICR_159"
"107","chr2",162243478,162243479,"chr2",162243084,162244421,"cg11451912_BC21","ICR_159"
"108","chr2",162243614,162243615,"chr2",162243084,162244421,"cg08826839_TC21","ICR_159"
"109","chr2",162244001,162244002,"chr2",162243084,162244421,"cg20838429_BC21","ICR_159"
"110","chr2",162244420,162244421,"chr2",162243084,162244421,"cg24560783_BC21","ICR_159"
"111","chr2",163026377,163026378,"chr2",163026309,163026448,"cg14688113_TC11","ICR_160"
"112","chr2",173217372,173217373,"chr2",173217298,173217391,"cg22854985_TC11","ICR_161"
"113","chr2",181574335,181574336,"chr2",181574335,181575348,"cg12654250_TC21","ICR_163"
"114","chr2",181575345,181575346,"chr2",181574335,181575348,"cg18357804_BC21","ICR_163"
"115","chr2",201139603,201139604,"chr2",201139398,201139980,"cg24845267_BC21","ICR_164"
"116","chr2",201139710,201139711,"chr2",201139398,201139980,"cg23614914_BC21","ICR_164"
"117","chr2",201139913,201139914,"chr2",201139398,201139980,"cg10661464_BC21","ICR_164"
"118","chr2",201139925,201139926,"chr2",201139398,201139980,"cg16198734_BC21","ICR_164"
